City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kuanda,56.3161,116.0806,12.81,85,88,1.59,RU,1729019147
1,port elizabeth,-33.918,25.5701,61.32,72,40,19.57,ZA,1729019148
2,la passe,45.5549,-0.8967,68.02,79,93,8.68,FR,1729019149
3,hermanus,-34.4187,19.2345,60.8,72,0,21.27,ZA,1729019151
4,mathba,22.2855,89.9629,76.41,83,10,1.74,BD,1729019152
5,price,39.5994,-110.8107,70.0,30,0,7.16,US,1729019153
6,waitangi,-43.9535,-176.5597,44.82,85,100,3.0,NZ,1729019154
7,edinburgh of the seven seas,-37.0676,-12.3116,53.8,63,14,12.93,SH,1729019155
8,changji,44.0167,87.3167,52.59,62,0,2.24,CN,1729019156
9,nagqu,31.5,92.0,30.56,40,100,8.55,CN,1729019157
10,middelburg,-25.7751,29.4648,52.93,76,100,15.19,ZA,1729019158
11,tiksi,71.6872,128.8694,3.94,97,66,8.93,RU,1729019159
12,port douglas,-16.4833,145.4667,74.52,86,75,9.53,AU,1729019161
13,adamstown,-25.066,-130.1015,70.16,85,100,15.75,PN,1729019162
14,bangassou,4.7413,22.8184,69.66,99,100,2.37,CF,1729019163
15,oxapampa,-10.5775,-75.4017,70.25,64,98,4.5,PE,1729019164
16,tazacorte,28.629,-17.9293,74.16,99,75,9.22,ES,1729019165
17,ilulissat,69.2167,-51.1,26.62,80,75,21.85,GL,1729019166
18,port mathurin,-19.6833,63.4167,73.54,73,77,16.15,MU,1729019167
19,laguna,38.421,-121.4238,77.95,59,0,3.44,US,1729019168
20,karratha,-20.7377,116.8463,77.58,30,19,14.67,AU,1729019169
21,carnarvon,-24.8667,113.6333,67.95,67,0,13.06,AU,1729019170
22,kimbe,-5.5502,150.1429,75.49,92,100,4.47,PG,1729019171
23,kalawit,8.0667,122.5167,77.79,87,18,1.07,PH,1729019173
24,ushtobe,45.2514,77.9838,47.52,87,100,10.65,KZ,1729019175
25,saipan,15.1355,145.701,81.3,83,0,3.44,MP,1729019176
26,qusmuryn,52.4503,64.6311,32.32,65,15,6.67,KZ,1729019177
27,antofagasta,-23.65,-70.4,63.68,73,1,7.52,CL,1729019178
28,puerto natales,-51.7236,-72.4875,54.05,50,75,31.07,CL,1729019179
29,invercargill,-46.4,168.35,41.02,91,21,4.41,NZ,1729019180
30,hadibu,12.65,54.0333,79.79,80,95,6.49,YE,1729019182
31,saint-pierre,-21.3393,55.4781,73.08,83,0,8.05,RE,1729018977
32,utrik,11.2278,169.8474,83.44,81,97,17.72,MH,1729019184
33,bethel,41.3712,-73.414,56.93,51,40,6.91,US,1729019187
34,weining,26.85,104.2333,52.68,90,99,2.64,CN,1729019188
35,tocopilla,-22.092,-70.1979,68.7,65,0,7.27,CL,1729019189
36,sao jose da coroa grande,-8.8978,-35.1478,79.09,71,100,10.07,BR,1729019190
37,iguape,-24.7081,-47.5553,72.34,75,97,12.08,BR,1729019191
38,grytviken,-54.2811,-36.5092,37.08,86,51,10.92,GS,1729019192
39,bulle,46.6195,7.0567,56.53,65,99,4.72,CH,1729019193
40,prenzlau,53.3167,13.8667,43.41,74,0,5.5,DE,1729019194
41,lerwick,60.1545,-1.1494,51.48,86,100,30.11,GB,1729019196
42,port-aux-francais,-49.35,70.2167,34.52,70,28,39.82,TF,1729019197
43,callao,-12.0667,-77.15,66.49,77,100,6.91,PE,1729019148
44,hamilton,39.1834,-84.5333,52.61,63,64,5.01,US,1729018970
45,posto fiscal rolim de moura,-13.0833,-62.2667,102.52,24,98,5.14,BR,1729019200
46,neya,58.2972,43.8681,39.88,90,100,10.04,RU,1729019201
47,crane,31.3974,-102.3501,87.04,15,0,3.83,US,1729019202
